date,Real Middle Band,Real Lower Band,Real Upper Band
2018-03-21 09:39,92.8425,92.6983,92.9867
2018-03-21 09:40,92.8381,92.7012,92.975
2018-03-21 09:41,92.8411,92.7046,92.9776
2018-03-21 09:42,92.8541,92.7148,92.9934
2018-03-21 09:43,92.8586,92.7172,93.0
2018-03-21 09:44,92.8741,92.7534,92.9947
2018-03-21 09:45,92.8841,92.7699,92.9982
2018-03-21 09:46,92.9041,92.8083,92.9999
2018-03-21 09:47,92.9221,92.8366,93.0075
2018-03-21 09:48,92.9281,92.8308,93.0253
2018-03-21 09:49,92.9311,92.8272,93.0349
2018-03-21 09:50,92.938,92.8408,93.0352
2018-03-21 09:51,92.9495,92.8713,93.0277
2018-03-21 09:52,92.9585,92.8754,93.0416
2018-03-21 09:53,92.978,92.8746,93.0814
2018-03-21 09:54,93.005,92.8633,93.1467
2018-03-21 09:55,93.031,92.874,93.188
2018-03-21 09:56,93.0565,92.8678,93.2452
2018-03-21 09:57,93.075,92.8798,93.2702
2018-03-21 09:58,93.0935,92.8952,93.2918
2018-03-21 09:59,93.1035,92.9152,93.2918
2018-03-21 10:00,93.1205,92.9647,93.2763
2018-03-21 10:01,93.144,93.0218,93.2662
2018-03-21 10:02,93.164,93.0751,93.2529
2018-03-21 10:03,93.1805,93.0915,93.2695
2018-03-21 10:04,93.1855,93.0938,93.2772
2018-03-21 10:05,93.193,93.0955,93.2905
2018-03-21 10:06,93.1855,93.0875,93.2835
2018-03-21 10:07,93.177,93.0633,93.2907
2018-03-21 10:08,93.1635,93.027,93.3
2018-03-21 10:09,93.1755,93.0424,93.3086
2018-03-21 10:10,93.1905,93.0543,93.3267
2018-03-21 10:11,93.2045,93.0412,93.3678
2018-03-21 10:12,93.2145,93.0393,93.3897
2018-03-21 10:13,93.219,93.0376,93.4004
2018-03-21 10:14,93.231,93.0356,93.4264
2018-03-21 10:15,93.2375,93.0364,93.4386
2018-03-21 10:16,93.2545,93.0572,93.4518
2018-03-21 10:17,93.2735,93.1094,93.4376
2018-03-21 10:18,93.2915,93.2115,93.3715
2018-03-21 10:19,93.2935,93.22,93.367
2018-03-21 10:20,93.283,93.1745,93.3915
2018-03-21 10:21,93.26,93.1175,93.4025
2018-03-21 10:22,93.2313,93.0351,93.4275
2018-03-21 10:23,93.2033,92.9767,93.4299
2018-03-21 10:24,93.1718,92.9425,93.4011
2018-03-21 10:25,93.1408,92.9107,93.3709
2018-03-21 10:26,93.1088,92.8992,93.3184
2018-03-21 10:27,93.0788,92.8911,93.2665
2018-03-21 10:28,93.0538,92.888,93.2196
2018-03-21 10:29,93.0263,92.9091,93.1435
2018-03-21 10:30,93.0063,92.9241,93.0885
2018-03-21 10:31,92.9827,92.8976,93.0678
2018-03-21 10:32,92.9659,92.8564,93.0754
2018-03-21 10:33,92.9564,92.851,93.0618
2018-03-21 10:34,92.9464,92.8503,93.0425
2018-03-21 10:35,92.9279,92.8112,93.0446
2018-03-21 10:36,92.9089,92.7838,93.034
2018-03-21 10:37,92.8859,92.7389,93.0329
2018-03-21 10:38,92.8679,92.7274,93.0084
2018-03-21 10:39,92.8454,92.7023,92.9885
2018-03-21 10:40,92.8254,92.6968,92.954
2018-03-21 10:41,92.814,92.6844,92.9436
2018-03-21 10:42,92.8085,92.6817,92.9353
2018-03-21 10:43,92.795,92.6948,92.8952
2018-03-21 10:44,92.7815,92.7309,92.8321
2018-03-21 10:45,92.781,92.7316,92.8303
2018-03-21 10:46,92.782,92.73,92.834
2018-03-21 10:47,92.793,92.7278,92.8581
2018-03-21 10:48,92.797,92.726,92.868
2018-03-21 10:49,92.805,92.7442,92.8658
2018-03-21 10:50,92.8075,92.7525,92.8625
2018-03-21 10:51,92.8145,92.7683,92.8607
2018-03-21 10:52,92.8115,92.7585,92.8644
2018-03-21 10:53,92.81,92.7539,92.866
2018-03-21 10:54,92.8055,92.7378,92.8732
2018-03-21 10:55,92.7925,92.6915,92.8935
2018-03-21 10:56,92.7795,92.6636,92.8954
2018-03-21 10:57,92.7575,92.6283,92.8867
2018-03-21 10:58,92.7405,92.6145,92.8665
2018-03-21 10:59,92.7215,92.5919,92.8511
2018-03-21 11:00,92.703,92.5626,92.8434
2018-03-21 11:01,92.683,92.5656,92.8004
2018-03-21 11:02,92.671,92.5679,92.774
2018-03-21 11:03,92.6555,92.5757,92.7353
2018-03-21 11:04,92.643,92.5878,92.6981
2018-03-21 11:05,92.633,92.5723,92.6936
2018-03-21 11:06,92.626,92.5785,92.6734
2018-03-21 11:07,92.624,92.5774,92.6706
2018-03-21 11:08,92.622,92.5822,92.6618
2018-03-21 11:09,92.627,92.574,92.68
2018-03-21 11:10,92.6355,92.5758,92.6952
2018-03-21 11:11,92.6395,92.5765,92.7025
2018-03-21 11:12,92.642,92.5756,92.7084
2018-03-21 11:13,92.643,92.5777,92.7084
2018-03-21 11:14,92.645,92.5814,92.7086
2018-03-21 11:15,92.653,92.6062,92.6998
2018-03-21 11:16,92.6643,92.6026,92.726
2018-03-21 11:17,92.6753,92.6101,92.7406
2018-03-21 11:18,92.6843,92.6112,92.7575
2018-03-21 11:19,92.6953,92.5988,92.7919
2018-03-21 11:20,92.7008,92.601,92.8006
2018-03-21 11:21,92.7068,92.6079,92.8057
2018-03-21 11:22,92.7157,92.6139,92.8175
2018-03-21 11:23,92.7307,92.6402,92.8212
2018-03-21 11:24,92.7432,92.6744,92.812
2018-03-21 11:25,92.7552,92.7112,92.7992
2018-03-21 11:26,92.7599,92.7163,92.8034
2018-03-21 11:27,92.7639,92.725,92.8028
2018-03-21 11:28,92.7662,92.7306,92.8018
2018-03-21 11:29,92.7632,92.7313,92.7951
2018-03-21 11:30,92.7647,92.7361,92.7933
2018-03-21 11:31,92.7727,92.7428,92.8027
2018-03-21 11:32,92.7793,92.7346,92.8241
2018-03-21 11:33,92.7847,92.7294,92.84
2018-03-21 11:34,92.7917,92.7307,92.8527
2018-03-21 11:35,92.7992,92.7282,92.8702
2018-03-21 11:36,92.7997,92.7291,92.8702
2018-03-21 11:37,92.8067,92.7354,92.8779
2018-03-21 11:38,92.8144,92.7471,92.8817
2018-03-21 11:39,92.8244,92.7629,92.8858
